"PROJANO";"NUMSEN";"ORGAO";"ORIGEM";"TIPOLEI";"DATAORIG";"DATAULT";"ULTACAO";"TNJR";"VETO";"NUMLEI";"EMENTA"
"PL.0350/99";"PLC0013/01";"EF";2,00;3;19/3/1999 00:00:00;3/7/2009 00:00:00;"TCOM";"NA";"NA";-1;"Dispõe sobre a forma e a apresentação dos símbolos nacionais."
"PL.0354/03";"PLC0041/03";"EF";2,00;3;17/3/2003 00:00:00;5/8/2003 00:00:00;"TNJR";"PRO";"NA";10710;"Altera a Lei nº 8.213, de 24 de julho de 1991, para restabelecer o pagamento, pela empresa, do salário-maternidade devido às seguradas empregada e trabalhadora avulsa gestantes. Dispondo que a concessão e o pagamento do salário - maternidade devido à segurada adotante será feito diretamente pela Previdência Social."
"PL.0370/07";"PLC0137/08";"CD";1,00;3;8/3/2007 00:00:00;28/9/2012 00:00:00;"TNJR";"SUB";"NA";12720;"Dispõe sobre o crime de extermínio de seres humanos; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; e dá outras providências.
Tipifica o crime de extermínio e penaliza a constituição de grupo de extermínio, milícia privada ou esquadrão e a oferta ilegal de serviço de segurança pública ou patrimonial."
"PL.0370/95";"PLC0056/96";"CD";1,00;3;25/4/1995 00:00:00;2/10/1996 00:00:00;"TNJR";"PRO";"NA";9309;"Revoga a Lei n° 7.700, de 21 de dezembro de 1988, que cria o Adicional de Tarifa Portuária - ATP, e dá outras providências."
"PL.0373/95";"PLC0100/95";"CD";1,00;3;25/4/1995 00:00:00;20/11/1995 00:00:00;"TNJR";"SUE";"PM";9129;"Autoriza o parcelamento do recolhimento de contribuições previdenciárias devidas pelos empregadores em geral, na forma que especifica, e determina outras providências."
"PL.0378/03";"PLC0008/04";"CD";1,00;3;18/3/2003 00:00:00;14/7/2004 00:00:00;"TNJR";"PRO";"NA";10894;"Declara Patrono da Geografia Nacional o geógrafo Milton Santos."
"PL.0380/91";"PLS.0047/97";"CD";1,00;3;19/3/1991 00:00:00;15/6/2004 00:00:00;"ARQV";"NA";"NA";-1;"DISPÕE SOBRE A CRIAÇÃO DO FUNDO DE RECUPERAÇÃO ECONOMICA DAS REGIÕES NORTE, NOROESTE E CENTRO-NORTE DO ESTADO DO RIO DE JANEIRO E DA OUTRAS PROVIDENCIAS."
"PL.0382/11";"PLC0001/11";"EF";2,00;3;10/2/2011 00:00:00;25/2/2011 00:00:00;"TNJR";"PRE";"NA";12382;"Dispõe sobre o valor do salário mínimo em 2011, a sua política de valorização de longo prazo, e disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário. Fixa o valor do salário mínimo em R$ 545,00 e fixa diretrizes para o aumento real do salário até 2015, utilizando a variação do INPC."
"PL.0382/91";"PLC0029/96";"CD";1,00;3;19/3/1991 00:00:00;26/5/1999 00:00:00;"TNJR";"SUE";"PM";9799;"Dispõe sobre o acesso ao mercado de trabalho e determina outras providências. Dispõe sobre o acesso da mulher ao mercado de trabalho e determina outras providências. GARANTINDO IGUALDADE DE OPORTUNIDADE ENTRE HOMEM E MULHER NO MERCADO DE TRABALHO; PROIBINDO DISCRIMINAÇÃO REFERENTE A SEXO, IDADE, COR, SITUAÇÃO FAMILIAR E ESTADO DE GRAVIDEZ; PROIBINDO REVISTA INTIMA NAS EMPREGADAS OU FUNCIONARIAS; E CONCEDENDO BENEFICIO FISCAL A EMPRESA QUE INCENTIVAR A MÃO-DE-OBRA FEMININA, REGULAMENTANDO O DISPOSTO NO ARTIGO SETIMO, INCISO XX, DA NOVA CONSTITUIÇÃO FEDERAL)."
"PL.0387/91";"PLC0043/96";"CD";1,00;3;8/4/1991 00:00:00;22/9/1999 00:00:00;"VETT";"SUB";"TM";-1;"DISPÕE SOBRE A OBRIGATORIEDADE DE MENÇÃO DO NOME DO DUBLADOR EM ESPETACULOS FILMADOS OU TELEVISADOS."
