"Id_Votacao";"Data";"Resultado";"TipoVotacao";"Projeto";"SiglaProjeto";"Assunto"
1995002,00;6/3/1995 00:00:00;"APR";1,00;"PL.";"PL.2331/91";"PL. 2331/91 - Projeto"
1995005,00;29/3/1995 00:00:00;"REG";2,00;"PL.";"PL.0194/95";"PL. 194/95 - Votação de requerimento de urgência art. 155 RI"
1995006,00;29/3/1995 00:00:00;"REJ";2,00;"PL.";"PL.3804/93";"PL. 3804/93 - Votação do parecer CCJR"
1995007,00;30/3/1995 00:00:00;"REJ";1,00;"MPV";"MPV0744/95";"MPV 919/95 (reedição da 744/95) - Votação da emenda nº 1"
1995009,00;4/4/1995 00:00:00;"APR";2,00;"PL.";"PL.0305/91";"PL. 305/91 -  Votação de recurso"
1995010,00;6/4/1995 00:00:00;"REJ";1,00;"MPV";"MPV0941/95";"PLV 06/95 - Votação da emenda nº 8"
1995011,00;18/4/1995 00:00:00;"REG";2,00;"PL.";"PL.0199/95";"PL. 199/95 - Votação de requerimento de urgência art. 155 RI"
1995012,00;19/4/1995 00:00:00;"APR";2,00;"PL.";"PL.0199/95";"PL. 199/95 - Votação de requerimento para desmembramento do projeto"
1995013,00;26/4/1995 00:00:00;"APR";1,00;"PL.";"PL.0040/95";"PL. 40/95 - Projeto"
1995014,00;27/4/1995 00:00:00;"APR";2,00;"PDC";"PDC0443/94";"PDC 443/1994 - Votação de requerimento de retirada de pauta"
1995015,00;2/5/1995 00:00:00;"REJ";2,00;"PEC";"PEC0004/95";"PEC 04/95 - Votação de requerimento de retirada de pauta"
1995017,00;4/5/1995 00:00:00;"APR";1,00;"PL.";"PL.3981/93";"PL. 3981/93 - Votação da emenda do Senado Federal"
1995018,00;9/5/1995 00:00:00;"REJ";2,00;"PEC";"PEC0005/95";"PEC 05/95 - Votação de requerimento de retirada de pauta"
1995019,00;10/5/1995 00:00:00;"REG";1,00;"PEC";"PEC0005/95";"PEC 05/95 - Substitutivo"
1995020,00;10/5/1995 00:00:00;"REG";1,00;"PEC";"PEC0005/95";"PEC 05/95 - Votação da emenda nº 2"
1995021,00;11/5/1995 00:00:00;"APR";2,00;"PEC";"PEC0004/95";"PEC 04/95 - Votação de requerimento de encerramento da sessão"
1995022,00;16/5/1995 00:00:00;"REG";1,00;"PEC";"PEC0004/95";"PEC 04/95 - Proposta"
