Id_Votacao;Data;Resultado;TipoVotacao;Projeto;SiglaProjeto;Assunto
2011002;16/02/2011 00:00;;1;PL.;PL.0382/11;PL   N∫ 382/2011 - DVS - PSDB - EMENDA N∫ 1 
2011003;16/02/2011 00:00;;1;PL.;PL.0382/11;PL   N∫ 382/2011 - DVS - DEM - EMENDA N∫ 22 
2011004;17/02/2011 00:00;;1;PL.;PL.0382/11;"PL   N∫ 382/2011 - DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3∫ DO PL 382/2011 (...) "
2011012;05/04/2011 00:00;;2;MPV;MPV0511/10;MPV  N∫ 511/2010 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSS√O E ENCAMINHAMENTO 
2011013;06/04/2011 00:00;;1;MPV;MPV0511/10;"MPV  N∫ 511/2010 - DVS - PSDB - EXPR. ""autoriza... ETAV"" CONST. DO ART. 1∫ DO PLV "
2011014;06/04/2011 00:00;;1;MPV;MPV0511/10;MPV  N∫ 511/2010 - DVS - DEM - ART. 23 DO PLV 
2011015;06/04/2011 00:00;;2;PDC;REQ0343/11;REQ  N∫ 343/2011 - URG NCIA PARA PDC N∫ 2600/2010 
2011018;06/04/2011 00:00;;1;PDC;PDC2600/10;PDC  N∫ 2600/2010 - PROJETO DE DECRETO LEGISLATIVO 
2011019;13/04/2011 00:00;;1;MPV;MPV0512/10;MPV  N∫ 512/2010 - DVS - PT - ß 7∫ DO ART. 11-B CONSTANTE DO ART. 1∫ DO PLV 
2011020;13/04/2011 00:00;;1;MPV;MPV0512/10;MPV  N∫ 512/2010 - DVS - PV - ART. 2∫  DO  PLV 
2011021;26/04/2011 00:00;;1;MPV;MPV0513/10;MPV  N∫ 513/2010 - DVS - PSDB -  ART. 5∫ DO PLV 
2011022;27/04/2011 00:00;;2;MPV;MPV0514/10;MPV  N∫ 514/2010 - REQ. DE CONCESS√O DE PRAZO POR 1 SESS√O 
2011026;18/05/2011 00:00;;2;;REQ;REQUERIMENTO - CONVOCA«√O PARA SESS√O EXTRAORDIN¡RIA - VOT. REQ. CONV. MINISTRO 
2011028;24/05/2011 00:00;;1;PL.;PL.1876/99;PL   N∫ 1876/1999 - EMENDA SUBSTITUTIVA GLOBAL DE PLEN¡RIO N∫ 186 
2011029;24/05/2011 00:00;;1;PL.;PL.1876/99;PL   N∫ 1876/1999 - DVS - PMDB - EMENDA N∫ 164 
