"Id_Votacao";"Nome_Dep";"Sigla_Partido";"Voto";"VotoLider";"VotoGov"
1989004,00;"ANTERO PAES DE BARROS";"PMDB";"N";"N";"S"
1989004,00;"ADAUTO PEREIRA";"PDS";"N";;"S"
1989004,00;"ADHEMAR DE BARROS FILHO";"PDT";"N";"N";"S"
1989004,00;"ADROALDO STRECK";"S/PART";"N";;"S"
1989004,00;"ADYLSON MOTTA";"PDS";"N";;"S"
1989004,00;"AECIO NEVES";"PMDB";"N";"N";"S"
1989004,00;"ALBERICO CORDEIRO";"PFL";"N";"N";"S"
1989004,00;"ALBERICO FILHO";"PMDB";"F";"N";"S"
1989004,00;"ALDO ARANTES";"PCdoB";"N";"N";"S"
1989004,00;"ALVARO VALLE";"PL";"F";"N";"S"
1989004,00;"ANTONIO UENO";"PFL";"N";"N";"S"
1989004,00;"ARNALDO FARIA DE SA";"PJ";"N";;"S"
1989004,00;"AROLDE DE OLIVEIRA";"PFL";"S";"N";"S"
1989004,00;"AUGUSTO CARVALHO";"PCB";"N";"N";"S"
1989004,00;"BASILIO VILLANI";"PTB";"N";;"S"
1989004,00;"BENITO GAMA";"PFL";"S";"N";"S"
1989004,00;"BONIFACIO DE ANDRADA";"PDS";"S";;"S"
1989004,00;"BOSCO FRANCA";"PMDB";"N";"N";"S"
1989004,00;"CARLOS CARDINAL";"PDT";"N";"N";"S"
1989004,00;"CARLOS MOSCONI";"PSDB";"N";"N";"S"
1989004,00;"CLEONANCIO FONSECA";"PFL";"N";"N";"S"
1989004,00;"COSTA FERREIRA";"PFL";"F";"N";"S"
1989004,00;"CUNHA BUENO";"PDS";"S";;"S"
1989004,00;"DELFIM NETTO";"PDS";"S";;"S"
1989004,00;"DOMINGOS LEONELLI";"S/PART";"N";;"S"
1989004,00;"ELIAS MURAD";"PTB";"N";;"S"
1989004,00;"ERALDO TRINDADE";"PFL";"N";"N";"S"
1989004,00;"FELIPE MENDES";"PDS";"N";;"S"
1989004,00;"FERNANDO LYRA";"PDT";"N";"N";"S"
1989004,00;"FIRMO DE CASTRO";"PMDB";"N";"N";"S"
1989004,00;"FRANCISCO COELHO";"PFL";"N";"N";"S"
1989004,00;"FRANCISCO DIOGENES";"PDS";"S";;"S"
1989004,00;"FRANCISCO DORNELLES";"PFL";"S";"N";"S"
1989004,00;"FREIRE JUNIOR";"PMDB";"S";"N";"S"
1989004,00;"GENESIO BERNARDINO";"PMDB";"S";"N";"S"
1989004,00;"GERSON PERES";"PDS";"F";;"S"
1989004,00;"GONZAGA PATRIOTA";"PMDB";"N";"N";"S"
1989004,00;"HAROLDO LIMA";"PCdoB";"N";"N";"S"
1989004,00;"HELIO ROSAS";"PMDB";"N";"N";"S"
1989004,00;"HENRIQUE EDUARDO ALVES";"PMDB";"N";"N";"S"
1989004,00;"HUMBERTO SOUTO";"PFL";"N";"N";"S"
1989004,00;"IBERE FERREIRA";"PFL";"N";"N";"S"
1989004,00;"IBRAHIM ABI-ACKEL";"PDS";"S";;"S"
1989004,00;"INOCENCIO OLIVEIRA";"PFL";"N";"N";"S"
1989004,00;"IVO MAINARDI";"PMDB";"N";"N";"S"
1989004,00;"JAIRO AZI";"PDC";"S";"N";"S"
1989004,00;"JAIRO CARNEIRO";"PDC";"N";"N";"S"
1989004,00;"JAYME SANTANA";"PSDB";"N";"N";"S"
1989004,00;"JOAO NATAL";"PMDB";"F";"N";"S"
1989004,00;"JOFRAN FREJAT";"PFL";"N";"N";"S"
1989004,00;"JONIVAL LUCAS";"PDC";"F";"N";"S"
1989004,00;"JOSE CARLOS COUTINHO";"PL";"N";"N";"S"
1989004,00;"JOSE CARLOS SABOIA";"PSB";"N";"N";"S"
1989004,00;"JOSE GENOINO";"PT";"N";"N";"S"
1989004,00;"JOSE JORGE";"PFL";"N";"N";"S"
1989004,00;"JOSE MAURICIO";"PDT";"N";"N";"S"
1989004,00;"JOSE MENDONCA BEZERRA";"PFL";"F";"N";"S"
1989004,00;"JOSE SANTANA DE VASCONCELLOS";"PFL";"N";"N";"S"
1989004,00;"JOSE THOMAZ NONO";"PFL";"N";"N";"S"
1989004,00;"KOYU IHA";"PSDB";"F";"N";"S"
1989004,00;"LAEL VARELLA";"PFL";"S";"N";"S"
1989004,00;"LEOPOLDO BESSONE";"PMDB";"N";"N";"S"
1989004,00;"LEUR LOMANTO";"PFL";"N";"N";"S"
1989004,00;"LUIS EDUARDO";"PFL";"S";"N";"S"
1989004,00;"LUIS ROBERTO PONTE";"PMDB";"N";"N";"S"
1989004,00;"LUIZ GUSHIKEN";"PT";"N";"N";"S"
1989004,00;"LUIZ HENRIQUE";"PMDB";"N";"N";"S"
1989004,00;"MALULY NETTO";"PFL";"N";"N";"S"
1989004,00;"MANOEL CASTRO";"PFL";"S";"N";"S"
1989004,00;"MARCIA CIBILIS VIANA";"PDT";"N";"N";"S"
1989004,00;"MARCOS LIMA";"PMDB";"F";"N";"S"
1989004,00;"MARIO DE OLIVEIRA";"PMDB";"N";"N";"S"
1989004,00;"MAURICIO CAMPOS";"PFL";"N";"N";"S"
1989004,00;"MAX ROSENMANN";"PMDB";"N";"N";"S"
1989004,00;"MICHEL TEMER";"PMDB";"F";"N";"S"
1989004,00;"MIRO TEIXEIRA";"PDT";"N";"N";"S"
1989004,00;"MUSSA DEMES";"PFL";"N";"N";"S"
1989004,00;"NESTOR DUARTE";"PMDB";"N";"N";"S"
1989004,00;"NEY LOPES";"PFL";"N";"N";"S"
1989004,00;"NILSON GIBSON";"PMDB";"N";"N";"S"
