Id_Votacao;Nome_Dep;Sigla_Partido;Voto;VotoLider;VotoGov
2011032;VALDIR COLATTO;PMDB;F;S;S
2011032;VICENTE ARRUDA;PR;S;S;S
2011032;WELINTON FAGUNDES;PR;F;S;S
2011032;WOLNEY QUEIROZ;PDT;N;L;S
2011032;MARCAL FILHO;PMDB;F;S;S
2011032;MENDES RIBEIRO FILHO;PMDB;F;S;S
2011032;NELSON BORNIER;PMDB;S;S;S
2011032;JOAO MAGALHAES;PMDB;S;S;S
2011032;LUIZ ALBERTO;PT;S;S;S
2011032;RAIMUNDO GOMES DE MATOS;PSDB;N;N;S
2011032;MOACIR MICHELETTO;PMDB;F;S;S
2011032;REINHOLD STEPHANES;PMDB;S;S;S
2011032;ANTONIO CARLOS MENDES THAME;PSDB;N;N;S
2011032;BENEDITA DA SILVA;PT;S;S;S
2011032;JULIO CAMPOS;DEM;N;N;S
2011032;JUTAHY JUNIOR;PSDB;N;N;S
2011032;LUCI CHOINACKI;PT;S;S;S
2011032;ROBERTO FREIRE;PPS;N;N;S
2011032;RONALDO CAIADO;DEM;F;N;S
2011032;ROSE DE FREITAS;PMDB;S;S;S
2011032;RUBENS BUENO;PPS;N;N;S
2011032;SERGIO BRITO;PSC;N;N;S
2011032;TERESA JUCA;PMDB;S;S;S
2011032;ALBERTO MOURAO;PSDB;F;N;S
2011032;ALEX CANZIANI;PTB;F;S;S
2011032;CARLOS EDUARDO CADOCA;PSC;F;N;S
2011032;DAMIAO FELICIANO;PDT;S;L;S
2011032;DR. ROSINHA;PT;S;S;S
2011032;EVANDRO MILHOMEN;PCdoB;S;S;S
2011032;FERNANDO MARRONI;PT;F;S;S
2011032;GERALDO SIMOES;PT;S;S;S
2011032;GILMAR MACHADO;PT;S;S;S
2011032;GIVALDO CARIMBAO;PSB;S;S;S
2011032;HENRIQUE FONTANA;PT;S;S;S
2011032;JOSUE BENGTSON;PTB;S;S;S
2011032;LINCOLN PORTELA;PR;S;S;S
2011032;LUIS CARLOS HEINZE;PP;S;S;S
2011032;LUIZA ERUNDINA;PSB;S;S;S
2011032;MANOEL SALVIANO;PSDB;S;N;S
2011032;MARCELO CASTRO;PMDB;S;S;S
2011032;MARCIO BITTAR;PSDB;N;N;S
2011032;MILTON MONTI;PR;S;S;S
2011032;NELSON PELLEGRINO;PT;S;S;S
2011032;NICE LOBAO;DEM;F;N;S
2011032;NILTON CAPIXABA;PTB;S;S;S
2011032;OSMAR SERRAGLIO;PMDB;S;S;S
2011032;PAULO MAGALHAES;DEM;S;N;S
2011032;PEDRO CHAVES;PMDB;S;S;S
2011032;PEDRO EUGENIO;PT;F;S;S
2011032;RICARDO BERZOINI;PT;S;S;S
2011032;RODRIGO MAIA;DEM;N;N;S
2011032;SILAS CAMARA;PSC;F;N;S
2011032;JORGE PINHEIRO;PRB;S;S;S
2011032;JOAO DADO;PDT;S;L;S
2011032;JULIO DELGADO;PSB;S;S;S
2011032;OSMAR TERRA;PMDB;S;S;S
2011032;MAURO BENEVIDES;PMDB;S;S;S
2011032;ALICE PORTUGAL;PCdoB;S;S;S
2011032;ANDRE ZACHAROW;PMDB;S;S;S
2011032;ANTONIO CARLOS BIFFI;PT;S;S;S
2011032;ANTONIO CARLOS MAGALHAES NETO;DEM;N;N;S
2011032;ASSIS MIGUEL DO COUTO;PT;F;S;S
2011032;BENJAMIN MARANHAO;PMDB;F;S;S
2011032;CARLOS ALBERTO LEREIA;PSDB;N;N;S
2011032;CARLOS SAMPAIO;PSDB;F;N;S
2011032;CARLOS SOUZA;PP;F;S;S
2011032;CHICO ALENCAR;PSOL;N;N;S
2011032;DANIEL ALMEIDA;PCdoB;F;S;S
2011032;DAVI ALCOLUMBRE;DEM;N;N;S
2011032;DELEY;PSC;N;N;S
2011032;DEVANIR RIBEIRO;PT;S;S;S
2011032;DIMAS RAMALHO;PPS;N;N;S
2011032;DR. RIBAMAR ALVES;PSB;S;S;S
2011032;EDUARDO CUNHA;PMDB;S;S;S
2011032;EDUARDO GOMES;PSDB;F;N;S
2011032;EDUARDO SCIARRA;DEM;N;N;S
2011032;FABIO SOUTO;DEM;N;N;S
2011032;FATIMA BEZERRA;PT;F;S;S
2011032;GERALDO RESENDE;PMDB;S;S;S
2011032;GERALDO THADEU;PPS;N;N;S
2011032;GIACOBO;PR;F;S;S
2011032;HELENO SILVA;PRB;N;S;S
2011032;HENRIQUE AFONSO;PV1;F;N;S
2011032;JEFFERSON CAMPOS;PSB;S;S;S
2011032;JOAO CAMPOS;PSDB;N;N;S
2011032;JOAO LYRA;PTB;S;S;S
2011032;JORGE BOEIRA;PT;N;S;S
2011032;JOSE CARLOS ARAUJO;PDT;N;L;S
2011032;JOSE MENTOR;PT;S;S;S
2011032;JOSIAS GOMES;PT;S;S;S
2011032;LEANDRO VILELA;PMDB;S;S;S
2011032;LEONARDO MONTEIRO;PT;S;S;S
2011032;LUIZ COUTO;PT;S;S;S
2011032;MANATO;PDT;S;L;S
2011032;MAURICIO QUINTELLA LESSA;PR;S;S;S
2011032;MENDONCA PRADO;DEM;N;N;S
2011032;ODAIR CUNHA;PT;S;S;S
2011032;ONYX LORENZONI;DEM;F;N;S
2011032;PAULO PIMENTA;PT;F;S;S
2011032;PAULO RUBEM SANTIAGO;PDT;F;L;S
2011032;PERPETUA ALMEIDA;PCdoB;S;S;S
2011032;REGINALDO LOPES;PT;S;S;S
2011032;RUBENS OTONI;PT;S;S;S
2011032;SANDES JUNIOR;PP;S;S;S
2011032;SANDRA ROSADO;PSB;S;S;S
2011032;TAKAYAMA;PSC;N;N;S
2011032;VANDER LOUBET;PT;S;S;S
2011032;VICENTINHO;PT;S;S;S
2011032;WELLINGTON ROBERTO;PR;S;S;S
2011032;WLADIMIR COSTA;PMDB;S;S;S
2011032;ZEQUINHA MARINHO;PSC;N;N;S
2011032;ZONTA;PP;N;S;S
2011032;ZE GERALDO;PT;S;S;S
2011032;JOSE OTAVIO GERMANO;PP;F;S;S
2011032;NAZARENO FONTELES;PT;S;S;S
2011032;GORETE PEREIRA;PR;F;S;S
2011032;MARCO MAIA;PT;A;S;S
2011032;ADEMIR CAMILO;PDT;S;L;S
2011032;NATAN DONADON;PMDB;S;S;S
2011032;ANDRE FIGUEIREDO;PDT;S;L;S
2011032;AFONSO HAMM;PP;S;S;S
2011032;BETO FARO;PT;S;S;S
2011032;AELTON FREITAS;PR;S;S;S
2011032;ALFREDO KAEFER;PSDB;F;N;S
2011032;ALINE CORREA;PP;F;S;S
2011032;ANA ARRAES;PSB;S;S;S
2011032;ANDRE VARGAS;PT;F;S;S
2011032;ANDREIA ZITO;PSDB;N;N;S
2011032;ANGELO VANHONI;PT;S;S;S
2011032;ANTONIO ANDRADE;PMDB;F;S;S
2011032;ANTONIO BULHOES;PRB;S;S;S
2011032;ANTONIO ROBERTO;PV1;N;N;S
2011032;ARNALDO JARDIM;PPS;F;N;S
2011032;BRIZOLA NETO;PDT;S;L;S
2011032;BRUNO ARAUJO;PSDB;N;N;S
2011032;CAMILO COLA;PMDB;S;S;S
2011032;CARLOS BEZERRA;PMDB;S;S;S
2011032;CARLOS BRANDAO;PSDB;F;N;S
2011032;CELSO MALDANER;PMDB;S;S;S
2011032;CHICO DANGELO;PT;S;S;S
2011032;CHICO LOPES;PCdoB;S;S;S
2011032;CLEBER VERDE;PRB;F;S;S
2011032;DAVI ALVES SILVA JUNIOR;PR;S;S;S
2011032;DECIO LIMA;PT;F;S;S
2011032;DR. ADILSON SOARES;PR;S;S;S
2011032;DR. UBIALI;PSB;S;S;S
2011032;DUARTE NOGUEIRA;PSDB;N;N;S
2011032;EDIO LOPES;PMDB;S;S;S
2011032;EDSON SANTOS;PT;S;S;S
2011032;EDUARDO DA FONTE;PP;F;S;S
2011032;EFRAIM FILHO;DEM;N;N;S
